snippet_slug	keyword
args-and-kwargs	args
args-and-kwargs	dict
args-and-kwargs	flexible arguments
args-and-kwargs	kwargs
args-and-kwargs	tuple
builtins-return-values	count
builtins-return-values	index
builtins-return-values	len
builtins-return-values	max
builtins-return-values	ord
builtins-return-values	sorted
builtins-return-values	sum
builtins-return-values	type
case-and-capitalization	capitalize
case-and-capitalization	isdigit
case-and-capitalization	islower
case-and-capitalization	isupper
case-and-capitalization	lower
case-and-capitalization	lstrip
case-and-capitalization	rstrip
case-and-capitalization	strip
case-and-capitalization	upper
datetime-build-from-parts	datetime constructor
datetime-build-from-parts	day month year
datetime-build-from-parts	hour minute
datetime-build-from-parts	replace
datetime-build-from-parts	weekday
datetime-build-from-parts	year month day
datetime-overlap-logic	interval
datetime-overlap-logic	meeting
datetime-overlap-logic	overlap
datetime-sequence-generation	sequence
datetime-sequence-generation	strftime
datetime-sequence-generation	weekly dates
datetime-sequence-generation	weeks
datetime-strptime-strftime	datetime
datetime-strptime-strftime	format directives
datetime-strptime-strftime	object vs string
datetime-strptime-strftime	parse vs format
datetime-strptime-strftime	strftime
datetime-strptime-strftime	strptime
datetime-timedelta-day-counts	days
datetime-timedelta-day-counts	difference
datetime-timedelta-day-counts	timedelta
datetime-timedelta-day-counts	weeks
defaults-keyword-arguments	None sentinel
defaults-keyword-arguments	default parameter
defaults-keyword-arguments	keyword argument
defaults-keyword-arguments	mutable default
defaults-keyword-arguments	optional
defaults-keyword-arguments	parameter binding
dict-build-count-aggregate	aggregate
dict-build-count-aggregate	count
dict-build-count-aggregate	dict
dict-build-count-aggregate	values
dict-build-count-aggregate	zip
dict-comprehension-patterns	dict comprehension
dict-comprehension-patterns	len
dict-comprehension-patterns	ord
dict-comprehension-patterns	zip
dict-iteration-equality	dict equality
dict-iteration-equality	items
dict-iteration-equality	keys
dict-iteration-equality	values
dict-running-totals-and-next-links	cumulative
dict-running-totals-and-next-links	next item
dict-running-totals-and-next-links	running total
dict-running-totals-and-next-links	zip
find-index-count	count
find-index-count	find
find-index-count	index
find-index-count	search
fstrings-and-format	debug f-string
fstrings-and-format	f-string
fstrings-and-format	format
fstrings-and-format	placeholder
fstrings-and-format	printing
fstrings-and-format	var=
higher-order-lambda	function argument
higher-order-lambda	higher-order
higher-order-lambda	lambda
higher-order-lambda	map
imports-and-aliases	alias
imports-and-aliases	import
imports-and-aliases	math
